Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2012,London,Aquatics,Diving,"BOUDIA, David",USA,Men,10M Platform,Gold
2012,London,Aquatics,Diving,"QIU, Bo",CHN,Men,10M Platform,Silver
2012,London,Aquatics,Diving,"DALEY, Thomas",GBR,Men,10M Platform,Bronze
2012,London,Aquatics,Diving,"CHEN, Ruolin",CHN,Women,10M Platform,Gold
2012,London,Aquatics,Diving,"BROBEN, Brittany",AUS,Women,10M Platform,Silver
2012,London,Aquatics,Diving,"PAMG, Pandelela Rinong",MAS,Women,10M Platform,Bronze
2012,London,Aquatics,Diving,"ZAKHAROV, Ilya",RUS,Men,3M Springboard,Gold
2012,London,Aquatics,Diving,"QIN, Kai",CHN,Men,3M Springboard,Silver
2012,London,Aquatics,Diving,"HE, Chong",CHN,Men,3M Springboard,Bronze
2012,London,Aquatics,Diving,"WU, Minxia",CHN,Women,3M Springboard,Gold
2012,London,Aquatics,Diving,"HE, Zi",CHN,Women,3M Springboard,Silver
2012,London,Aquatics,Diving,"SANCHEZ SOTO, Laura",MEX,Women,3M Springboard,Bronze
2012,London,Aquatics,Diving,"CAO, Yuan",CHN,Men,Synchronized 10M,Gold
2012,London,Aquatics,Diving,"ZHANG, Yanquan",CHN,Men,Synchronized 10M,Gold
2012,London,Aquatics,Diving,"GARCIA NAVARRO, Ivan",MEX,Men,Synchronized 10M,Silver
2012,London,Aquatics,Diving,"SANCHEZ, German",MEX,Men,Synchronized 10M,Silver
2012,London,Aquatics,Diving,"BOUDIA, David",USA,Men,Synchronized 10M,Bronze
2012,London,Aquatics,Diving,"MCCRORY, Nicholas",USA,Men,Synchronized 10M,Bronze
2012,London,Aquatics,Diving,"CHEN, Ruolin",CHN,Women,Synchronized 10M,Gold
2012,London,Aquatics,Diving,"WANG, Hao",CHN,Women,Synchronized 10M,Gold
2012,London,Aquatics,Diving,"ESPINOSA, Paola",MEX,Women,Synchronized 10M,Silver
2012,London,Aquatics,Diving,"OROZCO LOZA, Alejandra",MEX,Women,Synchronized 10M,Silver
2012,London,Aquatics,Diving,"BENFEITO, Meaghan",CAN,Women,Synchronized 10M,Bronze
2012,London,Aquatics,Diving,"FILION, Roseline",CAN,Women,Synchronized 10M,Bronze
2012,London,Aquatics,Diving,"LUO, Yutong",CHN,Men,Synchronized 3M,Gold
2012,London,Aquatics,Diving,"QIN, Kai",CHN,Men,Synchronized 3M,Gold
2012,London,Aquatics,Diving,"KUZNETSOV, Evgeny",RUS,Men,Synchronized 3M,Silver
2012,London,Aquatics,Diving,"ZAKHAROV, Ilya",RUS,Men,Synchronized 3M,Silver
2012,London,Aquatics,Diving,"DUMAIS, Troy",USA,Men,Synchronized 3M,Bronze
2012,London,Aquatics,Diving,"IPSEN, Kristian",USA,Men,Synchronized 3M,Bronze
2012,London,Aquatics,Diving,"HE, Zi",CHN,Women,Synchronized 3M,Gold
2012,London,Aquatics,Diving,"WU, Minxia",CHN,Women,Synchronized 3M,Gold
2012,London,Aquatics,Diving,"BRYANT, Kelci",USA,Women,Synchronized 3M,Silver
2012,London,Aquatics,Diving,"JOHNSTON, Abigail",USA,Women,Synchronized 3M,Silver
2012,London,Aquatics,Diving,"ABEL, Jennifer",CAN,Women,Synchronized 3M,Bronze
2012,London,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,Synchronized 3M,Bronze
2012,London,Aquatics,Marathon swimming,"MELLOULI, Oussama",TUN,Men,10KM,Gold
2012,London,Aquatics,Marathon swimming,"LURZ, Thomas",GER,Men,10KM,Silver
2012,London,Aquatics,Marathon swimming,"WEINBERGER, Richard",CAN,Men,10KM,Bronze
2012,London,Aquatics,Marathon swimming,"RISZTOV, Eva",HUN,Women,10KM,Gold
2012,London,Aquatics,Marathon swimming,"ANDERSON, Haley",USA,Women,10KM,Silver
